Player,Pos,Age,Tm,G,MP,FG,FGA,FGPct,ThreeP,ThreePA,ThreePPct,eFGPct,FT,FTA,FTPct,TRB,AST,STL,BLK,PTS
Patrick Beverley,PG,31,LAC,51,26.3,2.9,6.7,0.431,1.6,4,0.388,0.548,0.6,0.9,0.66,5.2,3.6,1.1,0.5,7.9
Khem Birch,C,27,ORL,48,19.2,1.5,3,0.51,0,0,0,0.51,1.4,2.1,0.653,4.6,1,0.4,0.5,4.4
Goga Bitadze,C,20,IND,54,8.7,1.3,2.8,0.467,0.1,0.8,0.19,0.493,0.4,0.6,0.727,2,0.4,0.2,0.7,3.2
Bismack Biyombo,C,27,CHO,53,19.4,2.8,5.2,0.543,0,0,,0.543,1.7,2.8,0.603,5.8,0.9,0.2,0.9,7.4
Nemanja Bjelica,PF,31,SAC,72,27.9,4.4,9.1,0.481,1.9,4.4,0.419,0.583,1,1.2,0.821,6.4,2.8,0.9,0.6,11.5
Eric Bledsoe,PG,30,MIL,61,27,5.5,11.5,0.475,1.2,3.5,0.344,0.528,2.8,3.5,0.79,4.6,5.4,0.9,0.4,14.9
Bogdan Bogdanović,SG,27,SAC,61,29,5.5,12.6,0.44,2.7,7.2,0.372,0.547,1.4,1.9,0.741,3.4,3.4,1,0.2,15.1
Bojan Bogdanović,SF,30,UTA,63,33.1,6.6,14.8,0.447,3,7.3,0.414,0.548,4,4.4,0.903,4.1,2.1,0.5,0.1,20.2
Bol Bol,PF,20,DEN,7,12.4,2,4,0.5,0.6,1.3,0.444,0.571,1.1,1.4,0.8,2.7,0.9,0.3,0.9,5.7
Jonah Bolden,C,24,PHO,3,11,0.7,2.7,0.25,0,1,0,0.25,0.7,0.7,1,2.7,0,0.7,0.7,2
Marques Bolden,C,21,CLE,1,3,0,0,,0,0,,,0,0,,2,0,1,0,0
Jordan Bone,PG,22,DET,10,5.3,0.5,2,0.25,0.2,1,0.2,0.3,0,0,,0.4,0.8,0.1,0,1.2
Isaac Bonga,SF,20,WAS,66,18.9,1.8,3.5,0.504,0.4,1.1,0.352,0.558,1,1.3,0.812,3.4,1.2,0.7,0.3,5
Devin Booker,SG,23,PHO,70,35.9,9,18.3,0.489,2,5.7,0.354,0.544,6.7,7.3,0.919,4.2,6.5,0.7,0.3,26.6
Chris Boucher,C,27,TOR,62,13.2,2.3,4.8,0.472,0.6,1.9,0.322,0.535,1.5,1.9,0.784,4.5,0.4,0.4,1,6.6
Brian Bowen,SF,21,IND,6,5.2,0.5,1.7,0.3,0,0.3,0,0.3,0,0,,1.2,0,0,0.2,1
Ky Bowman,PG,22,GSW,45,22.6,3,7.1,0.417,0.7,2.4,0.308,0.469,0.8,0.9,0.829,2.7,2.9,1,0.2,7.4
Avery Bradley,SG,29,LAL,49,24.2,3.5,7.8,0.444,1.3,3.5,0.364,0.526,0.4,0.5,0.833,2.3,1.3,0.9,0.1,8.6
Tony Bradley,C,22,UTA,58,11.4,2.2,3.3,0.667,0.1,0.1,1,0.675,0.5,0.8,0.652,4.6,0.4,0.2,0.6,4.9
Jarrell Brantley,PF,23,UTA,9,10.7,1.1,3.1,0.357,0.3,1.4,0.231,0.411,0.1,0.2,0.5,2.2,1.2,0.3,0.6,2.7
Ignas Brazdeikis,SF,21,NYK,9,5.9,0.7,2.4,0.273,0.1,1,0.111,0.295,0.4,0.6,0.8,0.6,0.4,0,0.1,1.9
Corey Brewer,PF,33,SAC,5,6.6,0.4,0.8,0.5,0,0.2,0,0.5,0.2,0.6,0.333,1.6,0.4,0.8,0,1
Mikal Bridges,SF,23,PHO,73,28,3.4,6.6,0.51,1,2.7,0.361,0.583,1.4,1.7,0.844,4,1.8,1.4,0.6,9.1
Miles Bridges,SF,21,CHO,65,30.7,4.9,11.6,0.424,1.5,4.6,0.33,0.489,1.6,2,0.809,5.6,1.8,0.6,0.7,13
Oshae Brissett,SF,21,TOR,19,7.1,0.7,1.9,0.361,0.2,0.8,0.2,0.403,0.4,0.5,0.8,1.4,0.4,0.2,0.1,1.9
Ryan Broekhoff,SF,29,DAL,17,10.6,1.3,3.5,0.373,1.2,3,0.392,0.542,0.4,0.5,0.875,2.5,0.6,0.3,0.2,4.2
Malcolm Brogdon,PG,27,IND,54,30.9,6,13.8,0.438,1.4,4.3,0.326,0.489,3.1,3.4,0.892,4.9,7.1,0.6,0.2,16.5
Dillon Brooks,SG,24,MEM,73,28.9,6,14.6,0.407,2,5.6,0.358,0.476,2.2,2.8,0.808,3.3,2.1,0.9,0.4,16.2
Bruce Brown,PG,23,DET,58,28.2,3.4,7.7,0.443,0.6,1.7,0.344,0.48,1.5,2.1,0.739,4.7,4,1.1,0.5,8.9
Charlie Brown,SG,22,ATL,10,4,0.6,1.9,0.316,0.3,0.9,0.333,0.395,0.5,0.5,1,0.4,0.2,0.2,0.2,2
Jaylen Brown,SG,23,BOS,57,33.9,7.5,15.6,0.481,2.3,5.9,0.382,0.554,3.1,4.3,0.724,6.4,2.1,1.1,0.4,20.3
Moses Brown,C,20,POR,9,3.7,0.4,1.1,0.4,0,0,,0.4,0.3,0.9,0.375,1.6,0.1,0.1,0.1,1.2
Sterling Brown,SF,24,MIL,52,14.8,1.8,4.9,0.371,0.8,2.6,0.324,0.457,0.6,0.8,0.8,3.5,1,0.6,0.1,5.1
Troy Brown Jr.,SF,20,WAS,69,25.8,4,9,0.439,0.9,2.6,0.341,0.488,1.6,2,0.784,5.6,2.6,1.2,0.1,10.4
Jalen Brunson,PG,23,DAL,57,17.9,3.2,6.8,0.466,0.8,2.1,0.358,0.522,1.1,1.3,0.813,2.4,3.3,0.4,0.1,8.2
